pickup,dropoff,passengers,distance,fare,payment,pickup_zone,dropoff_zone
28-03-2019 07:54,28-03-2019 08:01,1,1.72,7.5,cash,Manhattan Valley,East Harlem South
19-03-2019 06:22,19-03-2019 06:37,1,3.5,13.5,cash,Lenox Hill East,Manhattan Valley
29-03-2019 10:25,29-03-2019 11:14,3,6.71,34,credit card,Times Sq/Theatre District,Williamsburg (North Side)
28-03-2019 05:39,28-03-2019 05:47,1,2.2,8.5,credit card,Lenox Hill West,Garment District
13-03-2019 18:32,13-03-2019 18:45,1,2,10,cash,Clinton East,Gramercy
05-03-2019 17:58,05-03-2019 18:19,2,2.7,14.5,cash,Murray Hill,Upper East Side North
21-03-2019 22:49,21-03-2019 22:55,1,1.03,6,credit card,DUMBO/Vinegar Hill,Brooklyn Heights
07-03-2019 19:57,07-03-2019 20:10,1,0.9,9.5,credit card,Lenox Hill West,Yorkville East
02-03-2019 12:25,02-03-2019 12:45,5,10.18,29.5,credit card,LaGuardia Airport,Midtown East
05-03-2019 15:39,05-03-2019 15:44,3,0.92,5.5,cash,Clinton East,Midtown North
13-03-2019 16:40,13-03-2019 16:51,1,2,9.5,credit card,Central Park,Upper East Side North
14-03-2019 11:36,14-03-2019 11:46,1,1.43,8.5,credit card,Central Park,Upper West Side North
22-03-2019 07:46,22-03-2019 07:49,3,0.74,4.5,credit card,Times Sq/Theatre District,Garment District
06-03-2019 17:36,06-03-2019 18:43,2,17.1,52,credit card,Midtown South,JFK Airport
08-03-2019 04:17,08-03-2019 04:21,1,1.2,5.5,credit card,Garment District,Garment District
31-03-2019 15:21,31-03-2019 15:37,2,1.8,11,credit card,East Village,West Village
21-03-2019 21:31,21-03-2019 21:49,1,2.13,12,cash,Meatpacking/West Village West,East Village
06-03-2019 12:43,06-03-2019 12:59,1,1.4,11,credit card,Gramercy,Flatiron
18-03-2019 14:30,18-03-2019 14:36,1,0.6,5.5,cash,Upper East Side North,Yorkville West
28-03-2019 22:33,28-03-2019 22:45,2,1.56,9.5,cash,Midtown Center,Murray Hill
13-03-2019 12:33,13-03-2019 12:40,6,0.95,6,credit card,Lincoln Square East,Clinton East
14-03-2019 04:46,14-03-2019 04:49,2,0.56,4,credit card,Times Sq/Theatre District,Midtown Center
13-03-2019 19:21,13-03-2019 19:28,1,1,6.5,cash,Little Italy/NoLiTa,Greenwich Village North
01-03-2019 11:25,01-03-2019 11:34,1,1.24,8,cash,Upper West Side South,Upper East Side North
05-03-2019 22:07,05-03-2019 22:18,6,2.16,9.5,credit card,Midtown East,East Village
04-03-2019 20:56,04-03-2019 21:13,1,9.97,28.5,credit card,Mott Haven/Port Morris,Riverdale/North Riverdale/Fieldston
04-03-2019 20:40,04-03-2019 20:44,1,1.1,5.5,credit card,Clinton East,Clinton East
05-03-2019 17:58,05-03-2019 18:00,1,0.44,3.5,credit card,East Village,Gramercy
29-03-2019 19:21,29-03-2019 19:35,1,5.19,17.5,credit card,Financial District North,Murray Hill
16-03-2019 17:27,16-03-2019 17:41,0,3.5,14.5,cash,Manhattan Valley,Washington Heights South
01-03-2019 10:25,01-03-2019 10:32,1,0.84,6,cash,Upper West Side South,Lincoln Square West
08-03-2019 00:51,08-03-2019 00:56,5,0.93,5.5,credit card,East Village,Lower East Side
15-03-2019 09:20,15-03-2019 09:27,2,0.71,6,cash,Midtown East,Murray Hill
07-03-2019 00:09,07-03-2019 00:38,1,6.08,24,cash,Midtown South,Steinway
11-03-2019 20:45,11-03-2019 20:50,1,1.09,6,credit card,East Village,Gramercy
26-03-2019 12:52,26-03-2019 13:07,1,1.9,10.5,cash,Sutton Place/Turtle Bay North,Midtown South
13-03-2019 08:34,13-03-2019 08:51,1,1.8,11.5,cash,Penn Station/Madison Sq West,Lincoln Square West
14-03-2019 19:38,14-03-2019 19:43,1,1.5,6.5,credit card,Midtown East,Yorkville West
17-03-2019 00:48,17-03-2019 00:59,2,2.17,10,cash,Little Italy/NoLiTa,Stuy Town/Peter Cooper Village
26-03-2019 15:06,26-03-2019 15:59,1,18.41,52,credit card,JFK Airport,Midtown Center
17-03-2019 00:50,17-03-2019 01:01,4,2,10,credit card,East Village,East Chelsea
30-03-2019 09:39,30-03-2019 09:45,1,1.2,6.5,credit card,Hudson Sq,Greenwich Village North
31-03-2019 14:28,31-03-2019 14:34,1,1.46,6.5,credit card,Sutton Place/Turtle Bay North,Lenox Hill East
19-03-2019 09:28,19-03-2019 10:01,1,14.1,39.5,credit card,JFK Airport,Astoria
18-03-2019 21:28,18-03-2019 21:52,1,14.3,40,cash,JFK Airport,Sheepshead Bay
10-03-2019 06:32,10-03-2019 06:36,1,0.66,4.5,cash,Garment District,Murray Hill
20-03-2019 18:51,20-03-2019 19:03,1,3.13,11.5,credit card,Lenox Hill East,East Harlem South
12-03-2019 14:39,12-03-2019 15:06,1,6.5,23.5,cash,Times Sq/Theatre District,Williamsburg (North Side)
19-03-2019 14:05,19-03-2019 14:11,1,1.3,6.5,credit card,Penn Station/Madison Sq West,Clinton West
19-03-2019 16:13,19-03-2019 16:14,1,0.2,3,cash,Greenwich Village North,Greenwich Village North
16-03-2019 13:18,16-03-2019 13:33,1,1.8,11,cash,West Chelsea/Hudson Yards,Times Sq/Theatre District
14-03-2019 07:59,14-03-2019 08:09,1,1.4,8.5,credit card,Upper East Side South,Upper East Side North
31-03-2019 14:28,31-03-2019 14:41,1,1.1,9,cash,Sutton Place/Turtle Bay North,Times Sq/Theatre District
15-03-2019 21:25,15-03-2019 21:31,1,0.88,6,cash,Upper East Side South,Midtown Center
02-03-2019 22:42,02-03-2019 22:56,1,2.3,11.5,credit card,Times Sq/Theatre District,Upper West Side South
25-03-2019 18:47,25-03-2019 18:57,3,1.21,7.5,cash,Clinton West,Clinton East
15-03-2019 14:19,15-03-2019 14:20,5,0.47,3.5,credit card,Lenox Hill West,Yorkville West
06-03-2019 09:48,06-03-2019 09:58,1,1.6,8.5,credit card,Little Italy/NoLiTa,Flatiron
08-03-2019 18:04,08-03-2019 18:11,1,1.5,7,credit card,Manhattan Valley,Lincoln Square East
07-03-2019 17:15,07-03-2019 17:18,1,0.4,4.5,cash,Upper West Side South,Upper West Side North
30-03-2019 23:38,30-03-2019 23:48,1,1.1,7.5,credit card,SoHo,Lower East Side
13-03-2019 07:15,13-03-2019 07:25,1,2.27,9.5,cash,Gramercy,Midtown Center
30-03-2019 23:53,30-03-2019 23:56,1,0.6,4.5,credit card,Greenwich Village South,Greenwich Village North
25-03-2019 21:36,25-03-2019 21:44,1,0.9,7,credit card,Midtown Center,Penn Station/Madison Sq West
30-03-2019 11:31,30-03-2019 11:35,1,0.3,4,credit card,Greenwich Village South,East Village
22-03-2019 22:40,22-03-2019 22:55,1,2.75,12.5,cash,Stuyvesant Heights,Crown Heights North
10-03-2019 10:32,10-03-2019 10:35,1,0.6,4.5,credit card,Morningside Heights,Manhattan Valley
05-03-2019 22:00,05-03-2019 22:17,2,3.6,14.5,credit card,Sutton Place/Turtle Bay North,TriBeCa/Civic Center
15-03-2019 22:59,15-03-2019 23:04,6,1.16,6,cash,Upper West Side South,Upper West Side North
20-03-2019 11:15,20-03-2019 11:59,1,15.01,46.5,credit card,Lenox Hill East,Midwood
08-03-2019 18:08,08-03-2019 18:15,1,1.4,7,credit card,Kips Bay,Alphabet City
20-03-2019 22:27,20-03-2019 22:49,2,3.69,16,cash,Lower East Side,Times Sq/Theatre District
14-03-2019 12:43,14-03-2019 13:06,1,8.81,27.5,credit card,LaGuardia Airport,Lenox Hill East
22-03-2019 21:39,22-03-2019 21:45,1,0.84,6,credit card,Upper East Side South,Sutton Place/Turtle Bay North
13-03-2019 21:57,13-03-2019 22:15,1,9.61,27.5,credit card,LaGuardia Airport,Lenox Hill East
19-03-2019 23:41,19-03-2019 23:43,1,0.4,4,cash,Upper East Side South,Lenox Hill East
22-03-2019 15:36,22-03-2019 16:34,2,12.07,48.5,credit card,Manhattan Valley,Boerum Hill
01-03-2019 20:28,01-03-2019 20:36,1,1.31,7.5,cash,Garment District,Midtown East
14-03-2019 14:28,14-03-2019 14:56,1,3.79,19.5,credit card,Midtown Center,Lenox Hill East
03-03-2019 21:02,03-03-2019 21:22,1,9.9,28,credit card,LaGuardia Airport,Upper East Side South
19-03-2019 23:32,19-03-2019 23:40,1,1.86,8,credit card,Times Sq/Theatre District,Union Sq
17-03-2019 02:22,17-03-2019 02:31,2,0.66,7,credit card,East Village,East Village
04-03-2019 15:30,04-03-2019 15:41,1,0.62,7.5,credit card,Midtown Center,Midtown Center
14-03-2019 11:45,14-03-2019 11:48,1,0.7,4.5,cash,Yorkville West,Yorkville West
07-03-2019 23:46,07-03-2019 23:51,1,1.09,6,credit card,Penn Station/Madison Sq West,Midtown Center
06-03-2019 21:56,06-03-2019 22:03,1,1.1,6.5,credit card,Gramercy,West Village
20-03-2019 23:19,20-03-2019 23:46,1,4.82,19.5,credit card,Union Sq,Financial District South
15-03-2019 19:33,15-03-2019 19:54,1,3.3,15.5,credit card,Upper East Side South,Gramercy
26-03-2019 12:11,26-03-2019 12:23,1,1,8.5,cash,Clinton East,Garment District
09-03-2019 01:49,09-03-2019 01:54,1,1.5,6.5,credit card,SoHo,Flatiron
14-03-2019 08:51,14-03-2019 09:00,2,1,7.5,credit card,Midtown South,Midtown North
20-03-2019 20:17,20-03-2019 20:46,1,10.1,32,credit card,LaGuardia Airport,Times Sq/Theatre District
29-03-2019 13:30,29-03-2019 13:36,1,1.23,6.5,credit card,Manhattan Valley,Upper West Side North
10-03-2019 12:44,10-03-2019 12:48,4,1.1,5.5,credit card,Lenox Hill West,Yorkville East
01-03-2019 12:14,01-03-2019 12:18,2,0.5,4.5,credit card,East Harlem North,East Harlem North
22-03-2019 10:35,22-03-2019 10:41,1,0.75,5.5,credit card,Lincoln Square East,Midtown North
31-03-2019 18:09,31-03-2019 18:25,1,2.62,12,credit card,Midtown Center,East Village
14-03-2019 19:36,14-03-2019 19:52,1,1.65,11.5,credit card,UN/Turtle Bay South,Penn Station/Madison Sq West
07-03-2019 18:49,07-03-2019 19:07,1,2.75,13,credit card,Yorkville West,Lincoln Square East
02-03-2019 23:13,02-03-2019 23:28,1,2.32,12,cash,Little Italy/NoLiTa,Midtown South
10-03-2019 01:44,10-03-2019 01:51,6,1.44,6.5,credit card,West Village,Midtown South
21-03-2019 10:07,21-03-2019 10:52,2,16.74,52,credit card,East Chelsea,JFK Airport
07-03-2019 13:07,07-03-2019 13:22,6,1.7,10.5,credit card,Midtown Center,Union Sq
09-03-2019 02:17,09-03-2019 02:28,1,1.46,8.5,credit card,Lower East Side,Union Sq
03-03-2019 13:38,03-03-2019 13:49,5,1.78,9.5,credit card,Upper West Side South,Lenox Hill West
16-03-2019 12:17,16-03-2019 12:34,1,2.7,13.5,cash,Bloomingdale,Lincoln Square East
12-03-2019 07:31,12-03-2019 07:34,1,0.5,4,credit card,Upper West Side South,Upper West Side South
22-03-2019 01:12,22-03-2019 01:26,2,2.77,12,credit card,Lower East Side,Flatiron
11-03-2019 18:18,11-03-2019 18:26,1,1.13,7,credit card,Lenox Hill West,Midtown Center
03-03-2019 20:28,03-03-2019 20:33,2,0.9,5.5,cash,Times Sq/Theatre District,Midtown North
20-03-2019 03:41,20-03-2019 03:58,6,5.53,17.5,credit card,Chinatown,Yorkville West
05-03-2019 22:16,05-03-2019 22:24,1,1.06,7,credit card,Penn Station/Madison Sq West,Murray Hill
21-03-2019 16:19,21-03-2019 16:24,1,0.8,5.5,cash,Garment District,Union Sq
03-03-2019 14:34,03-03-2019 14:42,2,1.35,7.5,credit card,Union Sq,West Chelsea/Hudson Yards
07-03-2019 02:07,07-03-2019 02:13,1,0.85,6,credit card,Greenwich Village South,East Village
28-03-2019 10:50,28-03-2019 10:55,1,1.47,6.5,credit card,Lenox Hill East,East Harlem South
03-03-2019 20:32,03-03-2019 20:39,1,0.77,6,credit card,East Village,Little Italy/NoLiTa
26-03-2019 21:42,26-03-2019 22:05,2,4.4,17.5,credit card,Fort Greene,Cypress Hills
27-03-2019 00:09,27-03-2019 00:37,1,9.39,29.5,cash,Garment District,Park Slope
03-03-2019 11:16,03-03-2019 11:20,1,1.3,6,cash,Clinton West,Lincoln Square West
03-03-2019 21:34,03-03-2019 22:08,2,7.8,28,credit card,Greenwich Village North,Central Harlem
09-03-2019 02:35,09-03-2019 03:10,1,10.82,36,credit card,Gramercy,Washington Heights South
18-03-2019 19:41,18-03-2019 19:51,1,1.33,8.5,credit card,Midtown North,Lincoln Square West
27-03-2019 14:41,27-03-2019 15:20,4,3.03,23,credit card,Central Park,Greenwich Village North
15-03-2019 09:56,15-03-2019 10:31,1,13.4,38.5,cash,JFK Airport,North Corona
